Date,avg_Temperature,min_Temperature,max_Temperature,avg_lower_bound,avg_upper_bound
2025-02-24,-2.0188118813353474e+25,-1.1211269763939808e+26,6.784067130671468e+25,-2.0188118813353474e+25,-2.0188118813353474e+25
2025-02-25,2.5769097733707756e+25,-2.280523835400935e+26,2.8118040028875977e+26,2.5769097733707756e+25,2.5769097733707756e+25
2025-02-26,-1.5801786694281012e+26,-9.727712673161785e+26,5.822621661428826e+26,-1.5801786694281012e+26,-1.5801786694281012e+26
2025-02-27,1.7642458366838638e+26,-2.0001885711140427e+27,2.4702279209515558e+27,1.7642458366838638e+26,1.7642458366838638e+26
2025-02-28,-1.2035400333399936e+27,-8.382871171126111e+27,5.062031675715368e+27,-1.2035400333399936e+27,-1.2035400333399936e+27
2025-03-01,1.069239893032868e+27,-1.7086521853764138e+28,2.1047431136100064e+28,1.069239893032868e+27,1.069239893032868e+27
2025-03-02,-8.851791000749516e+27,-7.188217289733431e+28,4.284626925706666e+28,-8.851791000749516e+27,-8.851791000749516e+27
2025-03-03,4.965140179655999e+27,-1.4824032533300474e+29,1.8308015613804775e+29,4.965140179655999e+27,4.965140179655999e+27
2025-03-04,-6.239151149816584e+28,-6.2494880033803956e+29,3.764475188148443e+29,-6.239151149816584e+28,-6.239151149816584e+28
2025-03-05,3.939192625940968e+27,-1.2775587079313905e+30,1.5757016396301668e+30,3.939192625940968e+27,3.939192625940968e+27
2025-03-06,-4.1360131958430165e+29,-5.292700639652761e+30,3.2077711649409177e+30,-4.1360131958430165e+29,-4.1360131958430165e+29
2025-03-07,-3.0596913692880978e+29,-1.0953823689828556e+31,1.3159802751996655e+31,-3.0596913692880978e+29,-3.0596913692880978e+29
2025-03-08,-2.4903542744411246e+30,-4.367830183010048e+31,2.789946443767594e+31,-2.4903542744411246e+30,-2.4903542744411246e+30
2025-03-09,-5.5615527431725e+30,-9.524047807005203e+31,1.0651327829229172e+32,-5.5615527431725e+30,-5.5615527431725e+30
2025-03-10,-1.24359356889208e+31,-3.507670532250312e+32,2.40140695017727e+32,-1.24359356889208e+31,-1.24359356889208e+31
2025-03-11,-7.209366081314042e+31,-8.069269057256597e+32,8.33474553319903e+32,-7.209366081314042e+31,-7.209366081314042e+31
2025-03-12,-3.2787346437538266e+31,-2.7328491006371373e+33,2.060358537393089e+33,-3.2787346437538266e+31,-3.2787346437538266e+31
2025-03-13,-8.165804297177904e+32,-7.0789669995553e+33,6.263223892572988e+33,-8.165804297177904e+32,-8.165804297177904e+32
2025-03-14,3.063340639664957e+32,-2.055469724381281e+34,1.7916929677144888e+34,3.063340639664957e+32,3.063340639664957e+32
